name,category,code
Merman,Emoji,🧜‍♂️
Woman Elf,Emoji,🧝‍♀️
Man Elf,Emoji,🧝‍♂️
Woman Genie,Emoji,🧞‍♀️
Man Genie,Emoji,🧞‍♂️
Woman Zombie,Emoji,🧟‍♀️
Man Zombie,Emoji,🧟‍♂️
Person Frowning,Emoji,🙍
Man Frowning,Emoji,🙍‍♂️
Woman Frowning,Emoji,🙍‍♀️
Person Pouting,Emoji,🙎
Man Pouting,Emoji,🙎‍♂️
Woman Pouting,Emoji,🙎‍♀️
Person Gesturing No,Emoji,🙅
Man Gesturing No,Emoji,🙅‍♂️
Woman Gesturing No,Emoji,🙅‍♀️
Person Gesturing OK,Emoji,🙆
Man Gesturing OK,Emoji,🙆‍♂️
Woman Gesturing OK,Emoji,🙆‍♀️
Person Tipping Hand,Emoji,💁
Man Tipping Hand,Emoji,💁‍♂️
Woman Tipping Hand,Emoji,💁‍♀️
Person Raising Hand,Emoji,🙋
Man Raising Hand,Emoji,🙋‍♂️
Woman Raising Hand,Emoji,🙋‍♀️
Person Bowing,Emoji,🙇
Man Bowing,Emoji,🙇‍♂️
Woman Bowing,Emoji,🙇‍♀️
Person Facepalming,Emoji,🤦
Man Facepalming,Emoji,🤦‍♂️
Woman Facepalming,Emoji,🤦‍♀️
Person Shrugging,Emoji,🤷
Man Shrugging,Emoji,🤷‍♂️
Woman Shrugging,Emoji,🤷‍♀️
Person Getting Massage,Emoji,💆
Man Getting Massage,Emoji,💆‍♂️
Woman Getting Massage,Emoji,💆‍♀️
Person Getting Haircut,Emoji,💇
Man Getting Haircut,Emoji,💇‍♂️
Woman Getting Haircut,Emoji,💇‍♀️
Person Walking,Emoji,🚶
Man Walking,Emoji,🚶‍♂️
Woman Walking,Emoji,🚶‍♀️
Person Running,Emoji,🏃
Man Running,Emoji,🏃‍♂️
Woman Running,Emoji,🏃‍♀️
Woman Dancing,Emoji,💃
Man Dancing,Emoji,🕺
People With Bunny Ears,Emoji,👯
Men With Bunny Ears,Emoji,👯‍♂️
Women With Bunny Ears,Emoji,👯‍♀️
Woman in Steamy Room,Emoji,🧖‍♀️
Man in Steamy Room,Emoji,🧖‍♂️
Man in Suit Levitating,Emoji,🕴
Speaking Head,Emoji,🗣
Bust in Silhouette,Emoji,👤
Busts in Silhouette,Emoji,👥
Man and Woman Holding Hands,Emoji,👫
Two Men Holding Hands,Emoji,👬
Two Women Holding Hands,Emoji,👭
Kiss,Emoji,💏
Kiss: Man,Emoji,👨‍❤️‍💋‍👨
Kiss: Woman,Emoji,👩‍❤️‍💋‍👩
Couple With Heart,Emoji,💑
Couple With Heart: Man,Emoji,👨‍❤️‍👨
Couple With Heart: Woman,Emoji,👩‍❤️‍👩
Family,Emoji,👪
Family: Man,Emoji,👨‍👩‍👦
Family: Man,Emoji,👨‍👩‍👧
Family: Man,Emoji,👨‍👩‍👧‍👦
Family: Man,Emoji,👨‍👩‍👦‍👦
